gene_idx,GeneID,GeneSymbol
454,4836,NMT1
455,4846,NOS3
456,4850,CNOT4
457,4851,NOTCH1
458,4860,PNP
459,4864,NPC1
460,4891,SLC11A2
461,4893,NRAS
462,4925,NUCB2
463,4927,NUP88
464,4931,NVL
465,4998,ORC1
466,501,ALDH7A1
467,5018,OXA1L
468,5019,OXCT1
469,5048,PAFAH1B1
470,5050,PAFAH1B3
471,5054,SERPINE1
472,5058,PAK1
473,50810,HDGFL3
474,50813,COPS7A
475,50814,NSDHL
476,50865,HEBP1
477,5092,PCBD1
478,5096,PCCB
479,51001,MTERF3
480,51005,AMDHD2
481,51015,ISOC1
482,51021,MRPS16
483,51024,FIS1
484,51026,GOLT1B
485,51031,GLOD4
486,51053,GMNN
487,51056,LAP3
488,5106,PCK2
489,51070,NOSIP
490,51071,DERA
491,5108,PCM1
492,51097,SCCPDH
493,5110,PCMT1
494,5111,PCNA
495,51116,MRPS2
496,51160,VPS28
497,51170,HSD17B11
498,51203,NUSAP1
499,51282,SCAND1
500,51293,CD320
501,51335,NGRN
502,51375,SNX7
503,51382,ATP6V1D
504,51385,ZNF589
505,51422,PRKAG2
506,51465,UBE2J1
507,51466,EVL
508,51495,HACD3
509,5154,PDGFA
510,51569,UFM1
511,51599,LSR
512,51635,DHRS7
513,51719,CAB39
514,51742,ARID4B
515,5211,PFKL
516,5223,PGAM1
517,5236,PGM1
518,5255,PHKA1
519,5257,PHKB
520,5261,PHKG2
521,5287,PIK3C2B
522,5289,PIK3C3
523,5290,PIK3CA
524,5300,PIN1
525,5321,PLA2G4A
526,533,ATP6V0B
527,5331,PLCB3
528,53343,NUDT9
529,5347,PLK1
530,5355,PLP2
531,5357,PLS1
532,5359,PLSCR1
533,5366,PMAIP1
534,5373,PMM2
535,54205,CYCS
536,5423,POLB
537,5427,POLE2
538,5438,POLR2I
539,54386,TERF2IP
540,5440,POLR2K
541,54438,GFOD1
542,54442,KCTD5
543,54499,TMCO1
544,54505,DHX29
545,54512,EXOSC4
546,54541,DDIT4
547,54623,PAF1
548,5467,PPARD
549,5468,PPARG
550,54681,P4HTM
551,54733,SLC35F2
552,5480,PPIC
553,54807,ZNF586
554,54850,FBXL12
555,54881,TEX10
556,54915,YTHDF1
557,54957,TXNL4B
558,5498,PPOX
559,55008,HERC6
560,55011,PIH1D1
561,55012,PPP2R3C
562,55033,FKBP14
563,55038,CDCA4
564,55111,PLEKHJ1
565,55127,HEATR1
566,55129,ANO10
567,55148,UBR7
568,55179,FAIM
569,5525,PPP2R5A
570,55256,ADI1
571,5529,PPP2R5E
572,55324,ABCF3
573,5547,PRCP
574,55556,ENOSF1
575,55604,CARMIL1
576,55608,ANKRD10
577,55620,STAP2
578,5566,PRKACA
579,55699,IARS2
580,55746,NUP133
581,55748,CNDP2
582,55793,MINDY1
583,5580,PRKCD
584,55818,KDM3A
585,55825,PECR
586,5583,PRKCH
587,55837,EAPP
588,55847,CISD1
589,5588,PRKCQ
590,55893,ZNF395
591,55958,KLHL9
592,5601,MAPK9
593,5603,MAPK13
594,5607,MAP2K5
595,5613,PRKX
596,5627,PROS1
597,5641,LGMN
598,5654,HTRA1
599,56654,NPDC1
600,56889,TM9SF3
601,56924,PAK6
602,56940,DUSP22
603,5696,PSMB8
604,5699,PSMB10
605,56997,COQ8A
606,57019,CIAPIN1
607,57048,PLSCR3
608,5708,PSMD2
609,5710,PSMD4
610,57147,SCYL3
611,57149,LYRM1
612,5715,PSMD9
613,5716,PSMD10
614,57178,ZMIZ1
615,57192,MCOLN1
616,572,BAD
617,5720,PSME1
618,5721,PSME2
619,57215,THAP11
620,57406,ABHD6
621,5743,PTGS2
622,5747,PTK2
623,5770,PTPN1
624,57761,TRIB3
625,5777,PTPN6
626,57804,POLD4
627,5782,PTPN12
628,5788,PTPRC
629,5792,PTPRF
630,5796,PTPRK
631,581,BAX
632,5827,PXMP2
633,5829,PXN
634,5831,PYCR1
635,5836,PYGL
636,58472,SQOR
637,58478,ENOPH1
638,58497,PRUNE1
639,58533,SNX6
640,5867,RAB4A
641,5873,RAB27A
642,5880,RAC2
643,5883,RAD9A
644,5889,RAD51C
645,5891,MOK
646,5898,RALA
647,5899,RALB
648,5900,RALGDS
649,5909,RAP1GAP
650,5921,RASA1
651,5925,RB1
652,5927,KDM5A
653,595,CCND1
654,596,BCL2
655,5971,RELB
656,5982,RFC2
657,5985,RFC5
658,5986,RFNG
659,5993,RFX5
660,5997,RGS2
661,6009,RHEB
662,60493,FASTKD5
663,6050,RNH1
664,60528,ELAC2
665,6117,RPA1
666,6118,RPA2
667,6119,RPA3
668,6182,MRPL12
669,6184,RPN1
670,6193,RPS5
671,6194,RPS6
672,6195,RPS6KA1
673,622,BDH1
674,6251,RSU1
675,6253,RTN2
676,6275,S100A4
677,6284,S100A13
678,6304,SATB1
679,6342,SCP2
680,6347,CCL2
681,637,BID
682,63874,ABHD4
683,6390,SDHB
684,63933,MCUR1
685,64080,RBKS
686,642,BLMH
687,644,BLVRA
688,64422,ATG3
689,64428,CIAO3
690,64429,ZDHHC6
691,6443,SGCB
692,6461,SHB
693,6464,SHC1
694,64746,ACBD3
695,64781,CERK
696,64943,NT5DC2
697,6499,SKIV2L
698,6500,SKP1
699,65057,ACD
700,6509,SLC1A4
701,65123,INTS3
702,652,BMP4
703,6597,SMARCA4
704,6599,SMARCC1
705,66008,TRAK2
706,6603,SMARCD2
707,6616,SNAP25
708,6622,SNCA
709,664,BNIP3
710,665,BNIP3L
711,6657,SOX2
712,6659,SOX4
713,6676,SPAG4
714,6696,SPP1
715,6697,SPR
716,670,BPHL
717,6709,SPTAN1
718,6714,SRC
719,672,BRCA1
720,6772,STAT1
721,6774,STAT3
722,6777,STAT5B
723,6790,AURKA
724,6793,STK10
725,6804,STX1A
726,6810,STX4
727,6812,STXBP1
728,6813,STXBP2
729,6832,SUPV3L1
730,6839,SUV39H1
731,6850,SYK
732,6856,SYPL1
733,6894,TARBP1
734,6908,TBP
735,6909,TBX2
736,6915,TBXA2R
737,6919,TCEA2
738,6944,VPS72
739,695,BTK
740,6988,TCTA
741,6990,DYNLT3
742,701,BUB1B
743,7015,TERT
744,7016,TESK1
745,7020,TFAP2A
746,7027,TFDP1
747,7043,TGFB3
748,7048,TGFBR2
749,7074,TIAM1
750,7077,TIMP2
751,7082,TJP1
752,7088,TLE1
753,7099,TLR4
754,7105,TSPAN6
755,7106,TSPAN4
756,7153,TOP2A
757,7157,TP53
758,7158,TP53BP1
759,7159,TP53BP2
760,7165,TPD52L2
761,7168,TPM1
762,7264,TSTA3
763,727,C5
764,7296,TXNRD1
765,7319,UBE2A
766,7358,UGDH
767,7376,NR1H2
768,7398,USP1
769,7416,VDAC1
770,7466,WFS1
771,7485,WRB
772,7494,XBP1
773,7511,XPNPEP1
774,7538,ZFP36
775,7690,ZNF131
776,7750,ZMYM2
777,780,DDR1
778,7849,PAX8
