adr_idx,adr_id,adr_name
537,C0041466,Typhoid fever
538,C0041582,Ulcer
539,C0041834,Erythema
540,C0041956,Ureteric obstruction
541,C0041969,Urethral disorder
542,C0041972,Urethral obstruction
543,C0042035,Micturition disorder
544,C0042063,Congenital genitourinary abnormality
545,C0042109,Urticaria
546,C0042164,Uveitis
547,C0042251,Vaginal disorder
548,C0042267,Vaginal inflammation
549,C0042373,Angiopathy
550,C0042384,Vasculitis
551,C0042487,Venous thrombosis
552,C0042514,Ventricular tachycardia
553,C0042571,Vertigo
554,C0042847,Vitamin B12 deficiency
555,C0042900,Vitiligo
556,C0042907,Vitreous detachment
557,C0042928,Vocal cord paralysis
558,C0042961,Volvulus
559,C0042963,Vomiting
560,C0043094,Weight increased
561,C0043096,Weight decreased
562,C0043144,Wheezing
563,C0043250,Wound
564,C0043349,Xerophthalmia
565,C0079924,Oligohydramnios
566,C0080194,Muscle strain
567,C0080203,Tachyarrhythmia
568,C0080233,Tooth loss
569,C0080274,Urinary retention
570,C0080276,Urogenital disorder
571,C0085077,Acute febrile neutrophilic dermatosis
572,C0085129,Bronchial hyperreactivity
573,C0085271,Self injurious behaviour
574,C0085298,Sudden cardiac death
575,C0085436,Meningitis cryptococcal
576,C0085569,Acidosis hyperchloraemic
577,C0085570,Alkalosis hypokalaemic
578,C0085580,Essential hypertension
579,C0085583,Choreoathetosis
580,C0085593,Chills
581,C0085602,Polydipsia
582,C0085606,Micturition urgency
583,C0085623,Akinesia
584,C0085628,Stupor
585,C0085632,Apathy
586,C0085633,Mood swings
587,C0085635,Photopsia
588,C0085636,Photophobia
589,C0085641,Rash pustular
590,C0085642,Livedo reticularis
591,C0085648,Synovial cyst
592,C0085652,Pyoderma gangrenosum
593,C0085655,Polymyositis
594,C0085669,Acute leukaemia
595,C0085682,Hypophosphataemia
596,C0085688,Breast engorgement
597,C0085932,Dermatitis bullous
598,C0086132,Depressive symptom
599,C0086769,Panic attack
600,C0149512,Acute sinusitis
601,C0149520,Cholecystitis acute
602,C0149531,Pelvic fracture
603,C0149725,Lower respiratory tract infection
604,C0149741,Breast discharge
605,C0149745,Mouth ulceration
606,C0149770,Rectal abscess
607,C0149871,Deep vein thrombosis
608,C0149892,Gingival abscess
609,C0149931,Migraine
610,C0151281,Genital ulceration
611,C0151311,Cranial nerve paralysis
612,C0151463,Breast abscess
613,C0151464,Injection site abscess
614,C0151467,Adrenocortical insufficiency acute
615,C0151474,Alcohol intolerance
616,C0151476,Alkalosis hypochloraemic
617,C0151505,Application site reaction
618,C0151526,Premature delivery
619,C0151541,Capillary fragility increased
620,C0151544,Gastrointestinal carcinoma
621,C0151563,Coagulation time prolonged
622,C0151564,Cogwheel rigidity
623,C0151571,Corneal lesion
624,C0151577,Creatinine renal clearance decreased
625,C0151584,Injection site cyst
626,C0151588,Deafness transitory
627,C0151594,Diarrhoea haemorrhagic
628,C0151596,Tongue discolouration
629,C0151602,Swelling face
630,C0151603,Generalised oedema
631,C0151604,Oedema genital
632,C0151614,Electrolyte depletion
633,C0151620,Hypertensive encephalopathy
634,C0151622,Endometrial disorder
635,C0151625,Enzyme abnormality
636,C0151629,Fixed eruption
637,C0151664,Gastrointestinal perforation
638,C0151671,Glucose tolerance decreased
639,C0151684,Granuloma skin
640,C0151685,Growth accelerated
641,C0151686,Growth retardation
642,C0151717,Skin hypertrophy
643,C0151721,Hypogonadism male
644,C0151734,Injection site inflammation
645,C0151735,Injection site reaction
646,C0151747,Renal tubular disorder
647,C0151799,Skin necrosis
648,C0151818,Opisthotonus
649,C0151824,Biliary colic
650,C0151889,Hyperreflexia
651,C0151891,Retinal depigmentation
652,C0151907,Skin discolouration
653,C0151908,Dry skin
654,C0151934,Hypogeusia
655,C0151936,Tendon disorder
656,C0151937,Tendon rupture
657,C0151970,Oesophageal ulcer
658,C0151977,Small intestine ulcer
659,C0152002,Renal vasculitis
660,C0152006,Vitreous opacities
661,C0152008,Vulvovaginal disorder
662,C0152010,Withdrawal bleed
663,C0152018,Oesophageal carcinoma
664,C0152020,Gastric atony
665,C0152021,Heart disease congenital
666,C0152025,Polyneuropathy
667,C0152030,Skin irritation
668,C0152063,Streptobacillary fever
669,C0152086,Traumatic arthropathy
670,C0152169,Renal colic
671,C0152198,Accommodation disorder
672,C0152427,Polydactyly
673,C0152447,Urethral discharge
674,C0152459,Skin striae
675,C0152964,Streptococcal sepsis
676,C0152965,Staphylococcal bacteraemia
677,C0153567,Uterine cancer
678,C0153594,Testis cancer
679,C0153676,Lung cancer metastatic
680,C0153690,Bone cancer metastatic
681,C0154251,Lipid metabolism disorder
682,C0154933,Iris adhesions
683,C0155002,Sudden visual loss
684,C0155170,Conjunctival cyst
685,C0155305,Optic ischaemic neuropathy
686,C0155320,Blindness cortical
687,C0155365,Vitreous disorder
688,C0155388,External ear disorder
689,C0155713,Papillary muscle rupture
690,C0155862,Pneumonia streptococcal
691,C0155866,Pneumonia anthrax
692,C0155947,Dentofacial anomaly
693,C0156369,Uterine polyp
694,C0156404,Menstruation irregular
695,C0158252,Intervertebral disc disorder
696,C0158266,Intervertebral disc degeneration
697,C0158687,Congenital genital malformation
698,C0158775,Spine malformation
699,C0159028,General symptom
700,C0159066,Abdominal rigidity
701,C0159658,Clavicle fracture
702,C0162119,Haemoglobin decreased
703,C0162275,Ketonuria
704,C0162283,Nephrogenic diabetes insipidus
705,C0162287,Abnormal faeces
706,C0162429,Malnutrition
707,C0162565,Porphyria acute
708,C0162627,Skin bacterial infection
709,C0162628,Viral skin infection
710,C0162834,Skin hyperpigmentation
711,C0175683,Argininosuccinate synthetase deficiency
712,C0178416,Hypoplastic anaemia
713,C0206063,Radiation pneumonitis
714,C0206160,Reticulocytosis
715,C0206633,Angiomyolipoma
716,C0206762,Limb malformation
717,C0220650,Brain cancer metastatic
718,C0220981,Metabolic acidosis
719,C0220983,Metabolic alkalosis
720,C0221002,Hyperparathyroidism primary
721,C0221032,Congenital generalised lipodystrophy
722,C0221150,Odynophagia
723,C0221166,Paraparesis
724,C0221201,Rash macular
725,C0221203,Rash vesicular
726,C0221204,Osteolysis
727,C0221239,Glomerulonephritis rapidly progressive
728,C0221245,Skin fissures
729,C0221264,Cheilosis
730,C0221265,Microcytosis
731,C0221278,Anisocytosis
