DiseaseName_raw,DiseaseName_norm
"ALACRIMA, ACHALASIA, AND IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME",alacrima achalasia and impaired intellectual development syndrome
Alagille Syndrome,alagille syndrome
Aland Island Eye Disease,aland island eye disease
ALAZAMI SYNDROME,alazami syndrome
ALAZAMI-YUAN SYNDROME,alazami yuan syndrome
"Albinism, Oculocutaneous",albinism oculocutaneous
"ALBINISM, OCULOCUTANEOUS, TYPE VII",albinism oculocutaneous type vii
Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells
Alcohol-Induced Disorders,alcohol induced disorders
"Alcohol-Induced Disorders, Nervous System",alcohol induced disorders nervous system
Alcohol-Related Disorders,alcohol related disorders
"ALCOHOL SENSITIVITY, ACUTE",alcohol sensitivity acute
Alcohol Withdrawal Delirium,alcohol withdrawal delirium
Alcohol Withdrawal Seizures,alcohol withdrawal seizures
Alcoholic Intoxication,alcoholic intoxication
Alexander Disease,alexander disease
Alkaptonuria,alkaptonuria
Allan-Herndon-Dudley syndrome,allan herndon dudley syndrome
Allanson Pantzar McLeod syndrome,allanson pantzar mcleod syndrome
Alopecia Areata,alopecia areata
"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome",alopecia neurologic defects and endocrinopathy syndrome
Alopecia universalis,alopecia universalis
alpha 1-Antitrypsin Deficiency,alpha 1 antitrypsin deficiency
ALPHA-AMINOADIPIC AND ALPHA-KETOADIPIC ACIDURIA,alpha aminoadipic and alpha ketoadipic aciduria
"Alpha-Beta T-Cell Lymphopenia with Gamma-Delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity",alpha beta t cell lymphopenia with gamma delta t cell expansion severe cytomegalovirus infection and autoimmunity
alpha-Fetoprotein Deficiency,alpha fetoprotein deficiency
Alpha-ketoglutarate dehydrogenase deficiency,alpha ketoglutarate dehydrogenase deficiency
alpha-Mannosidosis,alpha mannosidosis
Alpha-Methylacyl-CoA Racemase Deficiency,alpha methylacyl coa racemase deficiency
alpha-Thalassemia,alpha thalassemia
Alpha-Thalassemia Myelodysplasia Syndrome,alpha thalassemia myelodysplasia syndrome
"ALPORT SYNDROME 1, X-LINKED",alport syndrome 1 x linked
"Alport syndrome, dominant type",alport syndrome dominant type
"Alport syndrome, recessive type",alport syndrome recessive type
Alstrom Syndrome,alstrom syndrome
Alternating hemiplegia of childhood,alternating hemiplegia of childhood
Alveolar Bone Loss,alveolar bone loss
Alveolar capillary dysplasia,alveolar capillary dysplasia
"Alveolitis, Extrinsic Allergic",alveolitis extrinsic allergic
Alzheimer Disease,alzheimer disease
ALZHEIMER DISEASE 18,alzheimer disease 18
Alzheimer Disease 9,alzheimer disease 9
"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",alzheimer disease familial 3 with spastic paraparesis and apraxia
Alzheimer disease type 2,alzheimer disease type 2
Alzheimer disease type 4,alzheimer disease type 4
"Amaurosis congenita of Leber, type 1",amaurosis congenita of leber type 1
"Amaurosis congenita of Leber, type 2",amaurosis congenita of leber type 2
"Amaurosis congenita of Leber, type 5",amaurosis congenita of leber type 5
"Amaurosis congenita of Leber, type 9",amaurosis congenita of leber type 9
Amaurosis hypertrichosis,amaurosis hypertrichosis
Ameloblastoma,ameloblastoma
Amelogenesis Imperfecta,amelogenesis imperfecta
"Amelogenesis Imperfecta, Hypomaturation Type, Iia2",amelogenesis imperfecta hypomaturation type iia2
"Amelogenesis Imperfecta, Hypomaturation Type, Iia3",amelogenesis imperfecta hypomaturation type iia3
"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4",amelogenesis imperfecta hypomaturation type iia4
"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA5",amelogenesis imperfecta hypomaturation type iia5
"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6",amelogenesis imperfecta hypomaturation type iia6
"Amelogenesis imperfecta, hypoplastic-hypomaturation, X-linked 1",amelogenesis imperfecta hypoplastic hypomaturation x linked 1
Amelogenesis imperfecta local hypoplastic form,amelogenesis imperfecta local hypoplastic form
