DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Endometriosis,endometriosis,C0014175,Endometriosis,HERC5,MESH:D004715,marker/mechanism,20864642
"Influenza, Human",influenza human,,,HERC5,MESH:D007251,marker/mechanism,23326326
"Influenza, Human",influenza human,,,HERC6,MESH:D007251,marker/mechanism,23326326
Prostatic Neoplasms,prostatic neoplasms,,,HERPUD1,MESH:D011471,marker/mechanism,17013881
"Arthritis, Juvenile",arthritis juvenile,,,HERPUD2,MESH:D001171,marker/mechanism,19565504
Breast Neoplasms,breast neoplasms,,,HES1,MESH:D001943,marker/mechanism,20197467|21036696
"Carcinoma, Non-Small-Cell Lung",carcinoma non small cell lung,,,HES1,MESH:D002289,marker/mechanism,21994468
"Carcinoma, Pancreatic Ductal",carcinoma pancreatic ductal,,,HES1,MESH:D021441,marker/mechanism,19208345
Colonic Neoplasms,colonic neoplasms,,,HES1,MESH:D003110,marker/mechanism,19147571
Glioblastoma,glioblastoma,C0017636,Glioblastoma,HES1,MESH:D005909,marker/mechanism,21127729
Lung Neoplasms,lung neoplasms,,,HES1,MESH:D008175,marker/mechanism,17804716
Lymphangioleiomyomatosis,lymphangioleiomyomatosis,C0751674,Lymphangioleiomyomatosis,HES1,MESH:D018192,marker/mechanism,20038814
Meningioma,meningioma,C0025286,Meningioma,HES1,MESH:D008579,marker/mechanism,21127729
"Neuroectodermal Tumors, Primitive",neuroectodermal tumors primitive,,,HES1,MESH:D018242,marker/mechanism,21127729
Oligodendroglioma,oligodendroglioma,,,HES1,MESH:D009837,marker/mechanism,21127729
Ureteral Obstruction,ureteral obstruction,,,HES1,MESH:D014517,marker/mechanism,28318631
Uterine Cervical Neoplasms,uterine cervical neoplasms,,,HES1,MESH:D002583,marker/mechanism,25061499
Brain Neoplasms,brain neoplasms,,,HES5,MESH:D001932,marker/mechanism,21127729
Nervous System Diseases,nervous system diseases,,,HES5,MESH:D009422,marker/mechanism,23203475
Desbuquois syndrome,desbuquois syndrome,,,HES7,MESH:C535943,marker/mechanism,
"Spondylocostal dysostosis, autosomal recessive",spondylocostal dysostosis autosomal recessive,,,HES7,MESH:C535781,marker/mechanism,
Desbuquois syndrome,desbuquois syndrome,,,HESX1,MESH:C535943,marker/mechanism,
Hypopituitarism and septooptic 'dysplasia',hypopituitarism and septooptic dysplasia,,,HESX1,MESH:C531815,marker/mechanism,
Intellectual Disability,intellectual disability,,,HEXA,MESH:D008607,marker/mechanism,21937992
Tay-Sachs Disease,tay sachs disease,,,HEXA,MESH:D013661,marker/mechanism,11392526
Acute Kidney Injury,acute kidney injury,,,HEXB,MESH:D058186,marker/mechanism,22005293
Sandhoff Disease,sandhoff disease,,,HEXB,MESH:D012497,marker/mechanism,
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,HEXIM1,MESH:D008106,marker/mechanism,25380136
Astrocytoma,astrocytoma,C0004114,Astrocytoma,HEY1,MESH:D001254,marker/mechanism,21127729
Autism Spectrum Disorder,autism spectrum disorder,,,HEY1,MESH:D000067877,marker/mechanism,20868653
Breast Neoplasms,breast neoplasms,,,HEY1,MESH:D001943,marker/mechanism,21036696
"Carcinoma, Pancreatic Ductal",carcinoma pancreatic ductal,,,HEY1,MESH:D021441,marker/mechanism,19208345
Glioblastoma,glioblastoma,C0017636,Glioblastoma,HEY1,MESH:D005909,marker/mechanism,21127729
Lung Neoplasms,lung neoplasms,,,HEY1,MESH:D008175,marker/mechanism,17804716
"Neuroectodermal Tumors, Primitive",neuroectodermal tumors primitive,,,HEY1,MESH:D018242,marker/mechanism,21127729
Oligodendroglioma,oligodendroglioma,,,HEY1,MESH:D009837,marker/mechanism,21127729
Ureteral Obstruction,ureteral obstruction,,,HEY1,MESH:D014517,marker/mechanism,28318631
Astrocytoma,astrocytoma,C0004114,Astrocytoma,HEY2,MESH:D001254,marker/mechanism,21127729
Breast Neoplasms,breast neoplasms,,,HEY2,MESH:D001943,marker/mechanism,21036696
Brugada Syndrome,brugada syndrome,,,HEY2,MESH:D053840,marker/mechanism,23872634
"Carcinoma, Pancreatic Ductal",carcinoma pancreatic ductal,,,HEY2,MESH:D021441,marker/mechanism,19208345
"Cardiomyopathy, Hypertrophic",cardiomyopathy hypertrophic,,,HEY2,MESH:D002312,therapeutic,20001863
Marfan Syndrome,marfan syndrome,,,HEY2,MESH:D008382,marker/mechanism,
Tetralogy of Fallot,tetralogy of fallot,,,HEY2,MESH:D013771,marker/mechanism,
Ureteral Obstruction,ureteral obstruction,,,HEY2,MESH:D014517,marker/mechanism,28318631
Breast Neoplasms,breast neoplasms,,,HEYL,MESH:D001943,marker/mechanism,21036696
Alzheimer Disease,alzheimer disease,,,HFE,MESH:D000544,marker/mechanism,15060098|17047092
Autism Spectrum Disorder,autism spectrum disorder,,,HFE,MESH:D000067877,marker/mechanism,20808228
Birth Weight,birth weight,,,HFE,MESH:D001724,marker/mechanism,20659343
Hemochromatosis,hemochromatosis,,,HFE,MESH:D006432,marker/mechanism,11050162|16793930|17119292|17236123|17255318|17258727|17376729|18317567|20160468|20843714|21411349|22383097|23705020|25874029
Hepatitis C,hepatitis c,C0019196,Hepatitis C,HFE,MESH:D006526,marker/mechanism,15865084
Lead Poisoning,lead poisoning,,,HFE,MESH:D007855,marker/mechanism,20659343
Myelodysplastic Syndromes,myelodysplastic syndromes,,,HFE,MESH:D009190,marker/mechanism,17001480
"Osteoarthritis, Hip",osteoarthritis hip,,,HFE,MESH:D015207,marker/mechanism,30374069
Parkinson Disease,parkinson disease,,,HFE,MESH:D010300,marker/mechanism,16824219
Porphyria Cutanea Tarda,porphyria cutanea tarda,,,HFE,MESH:D017119,marker/mechanism,12622622
PREMATURE OVARIAN FAILURE 9,premature ovarian failure 9,,,HFM1,OMIM:615724,marker/mechanism,
Alkaptonuria,alkaptonuria,,,HGD,MESH:D000474,marker/mechanism,
Astrocytoma,astrocytoma,C0004114,Astrocytoma,HGF,MESH:D001254,marker/mechanism,11223164
Autism Spectrum Disorder,autism spectrum disorder,,,HGF,MESH:D000067877,marker/mechanism,35663546
Barrett Esophagus,barrett esophagus,,,HGF,MESH:D001471,marker/mechanism,15387324
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,HGF,MESH:D006528,marker/mechanism,11896611|9932610
"Carcinoma, Squamous Cell",carcinoma squamous cell,,,HGF,MESH:D002294,therapeutic,21273587
Cardiomyopathies,cardiomyopathies,,,HGF,MESH:D009202,therapeutic,16109756|18083897
Copper-Overload Cirrhosis,copper overload cirrhosis,,,HGF,MESH:C566858,marker/mechanism,22879914
"Deafness, Autosomal Recessive 39",deafness autosomal recessive 39,,,HGF,MESH:C564265,marker/mechanism,
Diabetic Neuropathies,diabetic neuropathies,,,HGF,MESH:D003929,therapeutic,26000320
"Hepatitis, Chronic",hepatitis chronic,,,HGF,MESH:D006521,marker/mechanism,22879914
"Leukemia, Myeloid, Acute",leukemia myeloid acute,,,HGF,MESH:D015470,marker/mechanism,22683780
Liver Cirrhosis,liver cirrhosis,,,HGF,MESH:D008103,therapeutic,17097021
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,HGF,MESH:D008106,therapeutic,10677585|12918455|15793283|16465399|16627068|17714472|18637143
"Liver Failure, Acute",liver failure acute,,,HGF,MESH:D017114,therapeutic,12479984
Liver Neoplasms,liver neoplasms,,,HGF,MESH:D008113,therapeutic,8807143
"Liver Neoplasms, Experimental",liver neoplasms experimental,,,HGF,MESH:D008114,marker/mechanism,11896611
"Mesothelioma, Malignant",mesothelioma malignant,,,HGF,MESH:D000086002,marker/mechanism,25162674
Myocardial Ischemia,myocardial ischemia,,,HGF,MESH:D017202,therapeutic,12447174
Neoplasm Invasiveness,neoplasm invasiveness,,,HGF,MESH:D009361,marker/mechanism,15654357|9932610
Neoplasm Metastasis,neoplasm metastasis,,,HGF,MESH:D009362,marker/mechanism,25971889
"Neoplasms, Experimental",neoplasms experimental,,,HGF,MESH:D009374,therapeutic,21273587
Neuroblastoma,neuroblastoma,,,HGF,MESH:D009447,marker/mechanism,16051641
Pain,pain,C0030193,Pain,HGF,MESH:D010146,therapeutic,26000320
Pancreatitis,pancreatitis,C0030305,Pancreatitis,HGF,MESH:D010195,therapeutic,14751415
Parkinson Disease,parkinson disease,,,HGF,MESH:D010300,therapeutic,16791285
Polyomavirus Infections,polyomavirus infections,,,HGF,MESH:D027601,marker/mechanism,25162674
Pulmonary Fibrosis,pulmonary fibrosis,C0034069,Pulmonary fibrosis,HGF,MESH:D011658,marker/mechanism,16324872
Reperfusion Injury,reperfusion injury,,,HGF,MESH:D015427,marker/mechanism,16526316
Thrombosis,thrombosis,C0040053,Thrombosis,HGF,MESH:D013927,marker/mechanism,15367830
Vascular Diseases,vascular diseases,,,HGF,MESH:D014652,therapeutic,15071489
"Wounds, Penetrating",wounds penetrating,,,HGF,MESH:D014950,therapeutic,12890377
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,HGFAC,MESH:D006528,marker/mechanism,19363144
Crohn Disease,crohn disease,,,HGFAC,MESH:D003424,marker/mechanism,36038634
Desbuquois syndrome,desbuquois syndrome,,,HGSNAT,MESH:C535943,marker/mechanism,
Mucopolysaccharidosis III,mucopolysaccharidosis iii,,,HGSNAT,MESH:D009084,marker/mechanism,
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,HGSNAT,MESH:C538365,marker/mechanism,
RETINITIS PIGMENTOSA 73,retinitis pigmentosa 73,,,HGSNAT,OMIM:616544,marker/mechanism,
Gastrointestinal Stromal Tumors,gastrointestinal stromal tumors,,,HHAT,MESH:D046152,marker/mechanism,27793025
Breast Neoplasms,breast neoplasms,,,HHEX,MESH:D001943,marker/mechanism,16854221
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,HHEX,MESH:D003924,marker/mechanism,23104008
Fatty Liver,fatty liver,,,HHEX,MESH:D005234,marker/mechanism,24469900
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,HHIP,MESH:D006528,marker/mechanism,18559595
Colorectal Neoplasms,colorectal neoplasms,,,HHIP,MESH:D015179,marker/mechanism,30510241
Gastrointestinal Stromal Tumors,gastrointestinal stromal tumors,,,HHIP,MESH:D046152,marker/mechanism,27793025
Hypospadias,hypospadias,,,HHIP,MESH:D007021,marker/mechanism,31568847
Coronary Artery Disease,coronary artery disease,C1956346,Coronary artery disease,HHIPL1,MESH:D003324,marker/mechanism,21378990
Beta-Hydroxyisobutyryl CoA Deacylase Deficiency,beta hydroxyisobutyryl coa deacylase deficiency,,,HIBCH,MESH:C562803,marker/mechanism,
Osteoarthritis,osteoarthritis,C0029408,Osteoarthritis,HIBCH,MESH:D010003,marker/mechanism,18784066
Breast Neoplasms,breast neoplasms,,,HIC1,MESH:D001943,marker/mechanism,20154726
Gastrointestinal Neoplasms,gastrointestinal neoplasms,,,HIC1,MESH:D005770,marker/mechanism,21297660
Macular Degeneration,macular degeneration,C0024437,Macular degeneration,HIC1,MESH:D008268,marker/mechanism,30742112
Medulloblastoma,medulloblastoma,,,HIC1,MESH:D008527,marker/mechanism,18347096
Polyps,polyps,,,HIC1,MESH:D011127,marker/mechanism,21297660
Reperfusion Injury,reperfusion injury,,,HIF-1A,MESH:D015427,marker/mechanism,35312153
Anaplasia,anaplasia,,,HIF1A,MESH:D000708,marker/mechanism,19808899
Astrocytoma,astrocytoma,C0004114,Astrocytoma,HIF1A,MESH:D001254,marker/mechanism,15341671
Brain Ischemia,brain ischemia,,,HIF1A,MESH:D002545,marker/mechanism,19429140
Breast Neoplasms,breast neoplasms,,,HIF1A,MESH:D001943,marker/mechanism,24349381
Carcinoma,carcinoma,,,HIF1A,MESH:D002277,marker/mechanism,19808899
"Carcinoma, Ductal",carcinoma ductal,,,HIF1A,MESH:D044584,marker/mechanism,20526721
"Carcinoma, Intraductal, Noninfiltrating",carcinoma intraductal noninfiltrating,,,HIF1A,MESH:D002285,marker/mechanism,20526721
"Carcinoma, Non-Small-Cell Lung",carcinoma non small cell lung,,,HIF1A,MESH:D002289,marker/mechanism,30381462
Cardiomegaly,cardiomegaly,C0018800,Cardiomegaly,HIF1A,MESH:D006332,marker/mechanism,15942707
"Cell Transformation, Neoplastic",cell transformation neoplastic,,,HIF1A,MESH:D002471,marker/mechanism,29501572
"Cholangitis, Sclerosing",cholangitis sclerosing,C0008313,Cholangitis sclerosing,HIF1A,MESH:D015209,marker/mechanism,22271822
Diabetes Complications,diabetes complications,,,HIF1A,MESH:D048909,marker/mechanism,26073000
Disease Progression,disease progression,C0242656,Disease progression,HIF1A,MESH:D018450,marker/mechanism,30381462
Esophageal Squamous Cell Carcinoma,esophageal squamous cell carcinoma,,,HIF1A,MESH:D000077277,marker/mechanism,17201171
Glioblastoma,glioblastoma,C0017636,Glioblastoma,HIF1A,MESH:D005909,marker/mechanism,12811834
"Heart Defects, Congenital",heart defects congenital,,,HIF1A,MESH:D006330,marker/mechanism,26073000
Heart Failure,heart failure,,,HIF1A,MESH:D006333,marker/mechanism,15732037
Hemangioblastoma,hemangioblastoma,,,HIF1A,MESH:D018325,marker/mechanism,15341671
Hyperplasia,hyperplasia,C0020507,Hyperplasia,HIF1A,MESH:D006965,marker/mechanism,20526721
Hypertension,hypertension,C0020538,Hypertension,HIF1A,MESH:D006973,therapeutic,22349312
"Hypertension, Pulmonary",hypertension pulmonary,,,HIF1A,MESH:D006976,marker/mechanism,20110409
"Hypoxia-Ischemia, Brain",hypoxia ischemia brain,,,HIF1A,MESH:D020925,marker/mechanism,23694759
Idiopathic Pulmonary Fibrosis,idiopathic pulmonary fibrosis,C1800706,Idiopathic pulmonary fibrosis,HIF1A,MESH:D054990,therapeutic,28434932
Liver Cirrhosis,liver cirrhosis,,,HIF1A,MESH:D008103,marker/mechanism,36126797
"Liver Cirrhosis, Biliary",liver cirrhosis biliary,,,HIF1A,MESH:D008105,marker/mechanism,22271822
Lung Diseases,lung diseases,,,HIF1A,MESH:D008171,marker/mechanism,20152896
"Micronuclei, Chromosome-Defective",micronuclei chromosome defective,,,HIF1A,MESH:D048629,therapeutic,23065176
Myocardial Reperfusion Injury,myocardial reperfusion injury,,,HIF1A,MESH:D015428,marker/mechanism,18549825|22050707
Neoplasm Invasiveness,neoplasm invasiveness,,,HIF1A,MESH:D009361,marker/mechanism,12811834|29501572
"Neoplasms, Experimental",neoplasms experimental,,,HIF1A,MESH:D009374,marker/mechanism,28574600
Pancreatic Neoplasms,pancreatic neoplasms,,,HIF1A,MESH:D010190,marker/mechanism,16628086
Prostatic Neoplasms,prostatic neoplasms,,,HIF1A,MESH:D011471,marker/mechanism,16205110
"Pulmonary Disease, Chronic Obstructive",pulmonary disease chronic obstructive,,,HIF1A,MESH:D029424,marker/mechanism,26752192
"Radiation Injuries, Experimental",radiation injuries experimental,,,HIF1A,MESH:D011833,therapeutic,23065176
Skin Neoplasms,skin neoplasms,,,HIF1A,MESH:D012878,marker/mechanism,19276359
Spinal Cord Injuries,spinal cord injuries,,,HIF1A,MESH:D013119,marker/mechanism,21092735
Thyroid Neoplasms,thyroid neoplasms,,,HIF1A,MESH:D013964,marker/mechanism,19808899
Urinary Bladder Neoplasms,urinary bladder neoplasms,,,HIF1A,MESH:D001749,marker/mechanism,36115647
Venous Thrombosis,venous thrombosis,C0042487,Venous thrombosis,HIF1A,MESH:D020246,marker/mechanism,36162953
Liver Neoplasms,liver neoplasms,,,HIGD2A,MESH:D008113,marker/mechanism,19233941
Precancerous Conditions,precancerous conditions,,,HIGD2A,MESH:D011230,marker/mechanism,19233941
Disease Progression,disease progression,C0242656,Disease progression,HIKESHI,MESH:D018450,marker/mechanism,21364753
"LEUKODYSTROPHY, HYPOMYELINATING, 13",leukodystrophy hypomyelinating 13,,,HIKESHI,OMIM:616881,marker/mechanism,
Melanoma,melanoma,,,HIKESHI,MESH:D008545,marker/mechanism,22535842
Stomach Neoplasms,stomach neoplasms,,,HIKESHI,MESH:D013274,marker/mechanism,21364753
Lung Neoplasms,lung neoplasms,,,HILPDA,MESH:D008175,marker/mechanism,27935865
Hypoxia,hypoxia,C0242184,Hypoxia,HIM-6,MESH:D000860,therapeutic,19936206
Inherited Peripheral Neuropathy,inherited peripheral neuropathy,,,HINT1,MESH:C548028,marker/mechanism,22961002
Isaacs Syndrome,isaacs syndrome,,,HINT1,MESH:D020386,marker/mechanism,
Muscular Diseases,muscular diseases,,,HINT1,MESH:D009135,marker/mechanism,22961002
Schizophrenia,schizophrenia,C0036341,Schizophrenia,HINT1,MESH:D012559,marker/mechanism,17203012|20514075
"TOBACCO ADDICTION, SUSCEPTIBILITY TO",tobacco addiction susceptibility to,,,HINT1,OMIM:188890,marker/mechanism,20514075
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,HIP1,MESH:D008106,marker/mechanism,25380136
Atrial Fibrillation,atrial fibrillation,C0004238,Atrial fibrillation,HIP1R,MESH:D001281,marker/mechanism,29892015|30061737
Acute Kidney Injury,acute kidney injury,,,HIPK1,MESH:D058186,marker/mechanism,36052886
Gastrointestinal Stromal Tumors,gastrointestinal stromal tumors,,,HIPK1,MESH:D046152,marker/mechanism,27793025
Gastrointestinal Stromal Tumors,gastrointestinal stromal tumors,,,HIPK2,MESH:D046152,marker/mechanism,27793025
Nephrosclerosis,nephrosclerosis,C0027719,Nephrosclerosis,HIPK2,MESH:D009400,marker/mechanism,28318631
Ureteral Obstruction,ureteral obstruction,,,HIPK2,MESH:D014517,marker/mechanism,28318631
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 43",intellectual developmental disorder autosomal dominant 43,,,HIVEP2,OMIM:616977,marker/mechanism,
Myocardial Ischemia,myocardial ischemia,,,HIVEP2,MESH:D017202,marker/mechanism,16214533
Neurodevelopmental Disorders,neurodevelopmental disorders,,,HIVEP3,MESH:D065886,marker/mechanism,28191889
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,HJURP,MESH:D006528,marker/mechanism,28284560
Cholestasis,cholestasis,C0008370,Cholestasis,HJV,MESH:D002779,marker/mechanism,27989131
Hemochromatosis,hemochromatosis,,,HJV,MESH:D006432,marker/mechanism,16868025|17255318|19252486|21411349
"Hemochromatosis, type 2",hemochromatosis type 2,,,HJV,MESH:C537247,marker/mechanism,
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,HJV,MESH:D008106,marker/mechanism,25380136
Adenocarcinoma of Lung,adenocarcinoma of lung,,,HK1,MESH:D000077192,marker/mechanism,27602772
"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 5",anemia congenital nonspherocytic hemolytic 5,,,HK1,OMIM:235700,marker/mechanism,
"Diabetes Mellitus, Experimental",diabetes mellitus experimental,,,HK1,MESH:D003921,marker/mechanism,16123366
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,HK1,MESH:D003924,marker/mechanism,16123366
"Disease Models, Animal",disease models animal,,,HK1,MESH:D004195,marker/mechanism,27602772
Myocardial Ischemia,myocardial ischemia,,,HK1,MESH:D017202,marker/mechanism,16214533
"Neuropathy, hereditary motor and sensory, Russe type",neuropathy hereditary motor and sensory russe type,,,HK1,MESH:C535813,marker/mechanism,
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,HK1,MESH:C538365,marker/mechanism,
RETINITIS PIGMENTOSA 79,retinitis pigmentosa 79,,,HK1,OMIM:617460,marker/mechanism,
Adenocarcinoma of Lung,adenocarcinoma of lung,,,HK2,MESH:D000077192,marker/mechanism,27602772
"Disease Models, Animal",disease models animal,,,HK2,MESH:D004195,marker/mechanism,27602772
Myocardial Ischemia,myocardial ischemia,,,HK2,MESH:D017202,marker/mechanism,16214533
Obesity,obesity,C0028754,Obesity,HK2,MESH:D009765,marker/mechanism,20882379
Liver Diseases,liver diseases,,,HK3,MESH:D008107,marker/mechanism,19784758
Autistic Disorder,autistic disorder,,,HLA-A,MESH:D001321,marker/mechanism,16720216
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,HLA-A,MESH:D056486,marker/mechanism,21570397|28043905
Genetic Predisposition to Disease,genetic predisposition to disease,,,HLA-A,MESH:D020022,marker/mechanism,3459889
Glioma,glioma,,,HLA-A,MESH:D005910,marker/mechanism,14511464
Multiple Myeloma,multiple myeloma,,,HLA-A,MESH:D009101,marker/mechanism,17283154
Parapsoriasis,parapsoriasis,,,HLA-A,MESH:D010267,marker/mechanism,16538176
Stevens-Johnson Syndrome,stevens johnson syndrome,C0038325,Stevens-Johnson syndrome,HLA-A,MESH:D013262,marker/mechanism,
Thrombocytopenia,thrombocytopenia,C0040034,Thrombocytopenia,HLA-A,MESH:D013921,marker/mechanism,3459889
Behcet Syndrome,behcet syndrome,,,HLA-B,MESH:D001528,marker/mechanism,20622878|23396137
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,HLA-B,MESH:D056486,marker/mechanism,19483685
Dermatitis,dermatitis,C0011603,Dermatitis,HLA-B,MESH:D003872,marker/mechanism,18007983|3084782
Dermatomyositis,dermatomyositis,C0011633,Dermatomyositis,HLA-B,MESH:D003882,marker/mechanism,3501473
Drug Eruptions,drug eruptions,,,HLA-B,MESH:D003875,marker/mechanism,19712599|29370880
Drug Hypersensitivity,drug hypersensitivity,C0013182,Drug hypersensitivity,HLA-B,MESH:D004342,marker/mechanism,11943262|15024131|17392574|18007983
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,HLA-B,MESH:D064420,marker/mechanism,29370880|3084782|3133153|3157529|3437418|6770269
Exanthema,exanthema,,,HLA-B,MESH:D005076,marker/mechanism,20485159
Genetic Predisposition to Disease,genetic predisposition to disease,,,HLA-B,MESH:D020022,marker/mechanism,3459889
Glioma,glioma,,,HLA-B,MESH:D005910,marker/mechanism,14511464
HIV Infections,hiv infections,,,HLA-B,MESH:D015658,marker/mechanism,17496894
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,HLA-B,MESH:D006967,marker/mechanism,23541086
Myasthenia Gravis,myasthenia gravis,C0026896,Myasthenia gravis,HLA-B,MESH:D009157,marker/mechanism,6402089|6605118
Nephritis,nephritis,C0027697,Nephritis,HLA-B,MESH:D009393,marker/mechanism,3084782
Proteinuria,proteinuria,C0033687,Proteinuria,HLA-B,MESH:D011507,marker/mechanism,3459889|3487119|6376799|6770269
"Spondylitis, Ankylosing",spondylitis ankylosing,,,HLA-B,MESH:D013167,marker/mechanism,21743469|22138694|8053961
Stevens-Johnson Syndrome,stevens johnson syndrome,C0038325,Stevens-Johnson syndrome,HLA-B,MESH:D013262,marker/mechanism,15057820|15743917|16538176|18855540|19694795|19915237|20235791|20485159|21428768|25099164
Synovitis,synovitis,C0039103,Synovitis,HLA-B,MESH:D013585,marker/mechanism,12648975
"Arthritis, Psoriatic",arthritis psoriatic,,,HLA-C,MESH:D015535,marker/mechanism,20953186
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,HLA-C,MESH:D064420,marker/mechanism,19629158
Glioma,glioma,,,HLA-C,MESH:D005910,marker/mechanism,14511464
"Hepatitis B, Chronic",hepatitis b chronic,,,HLA-C,MESH:D019694,marker/mechanism,24162738
HIV Infections,hiv infections,,,HLA-C,MESH:D015658,marker/mechanism,
Psoriasis,psoriasis,C0033860,Psoriasis,HLA-C,MESH:D011565,marker/mechanism,19169254|20953190
Stevens-Johnson Syndrome,stevens johnson syndrome,C0038325,Stevens-Johnson syndrome,HLA-C,MESH:D013262,marker/mechanism,19629158
"Dermatitis, Contact",dermatitis contact,C0011616,Dermatitis contact,HLA-DMA,MESH:D003877,marker/mechanism,18348411
"Dermatitis, Occupational",dermatitis occupational,,,HLA-DMA,MESH:D009783,marker/mechanism,16737583
"Prostate cancer, familial",prostate cancer familial,,,HLA-DOA,MESH:C537243,marker/mechanism,29892016
"Dermatitis, Irritant",dermatitis irritant,,,HLA-DPA1,MESH:D017453,marker/mechanism,27258892
"Hepatitis B, Chronic",hepatitis b chronic,,,HLA-DPA1,MESH:D019694,marker/mechanism,19349983
Angioedema,angioedema,C0002994,Angioedema,HLA-DPB1,MESH:D000799,marker/mechanism,15784113
"Arthritis, Rheumatoid",arthritis rheumatoid,,,HLA-DPB1,MESH:D001172,marker/mechanism,17956852|22286218
Asthma,asthma,C0004096,Asthma,HLA-DPB1,MESH:D001249,marker/mechanism,16792590|17956852
"Asthma, Aspirin-Induced",asthma aspirin induced,,,HLA-DPB1,MESH:D055963,marker/mechanism,16502481
Berylliosis,berylliosis,,,HLA-DPB1,MESH:D001607,marker/mechanism,11551429|14662898|15273960|17927685|17956852|8105536
Celiac Disease,celiac disease,,,HLA-DPB1,MESH:D002446,marker/mechanism,17956852
"Dermatitis, Irritant",dermatitis irritant,,,HLA-DPB1,MESH:D017453,marker/mechanism,27258892
Drug Eruptions,drug eruptions,,,HLA-DPB1,MESH:D003875,marker/mechanism,16502481
Endometriosis,endometriosis,C0014175,Endometriosis,HLA-DPB1,MESH:D004715,marker/mechanism,17956852
"Hepatitis B, Chronic",hepatitis b chronic,,,HLA-DPB1,MESH:D019694,marker/mechanism,19349983
Memory Disorders,memory disorders,,,HLA-DPB1,MESH:D008569,marker/mechanism,14975599
Multiple Sclerosis,multiple sclerosis,C0026769,Multiple sclerosis,HLA-DPB1,MESH:D009103,marker/mechanism,17956852
Myasthenia Gravis,myasthenia gravis,C0026896,Myasthenia gravis,HLA-DPB1,MESH:D009157,marker/mechanism,17956852
Sarcoidosis,sarcoidosis,C0036202,Sarcoidosis,HLA-DPB1,MESH:D012507,marker/mechanism,14508706|17956852|8909942
Urticaria,urticaria,C0042109,Urticaria,HLA-DPB1,MESH:D014581,marker/mechanism,16502481
Uterine Cervical Neoplasms,uterine cervical neoplasms,,,HLA-DPB1,MESH:D002583,marker/mechanism,23817570
Berylliosis,berylliosis,,,HLA-DPB2,MESH:D001607,marker/mechanism,16272364
Uterine Cervical Neoplasms,uterine cervical neoplasms,,,HLA-DPB2,MESH:D002583,marker/mechanism,23817570
Asthma,asthma,C0004096,Asthma,HLA-DQA1,MESH:D001249,marker/mechanism,10792356
Celiac Disease,celiac disease,,,HLA-DQA1,MESH:D002446,marker/mechanism,
Dermatitis,dermatitis,C0011603,Dermatitis,HLA-DQA1,MESH:D003872,marker/mechanism,16836882
"Diabetes Mellitus, Type 1",diabetes mellitus type 1,,,HLA-DQA1,MESH:D003922,marker/mechanism,26168013
Eosinophilia-Myalgia Syndrome,eosinophilia myalgia syndrome,,,HLA-DQA1,MESH:D016603,marker/mechanism,19790128
Esophageal Achalasia,esophageal achalasia,,,HLA-DQA1,MESH:D004931,marker/mechanism,24997987
"Glomerulonephritis, Membranous",glomerulonephritis membranous,C0017665,Glomerulonephritis membranous,HLA-DQA1,MESH:D015433,marker/mechanism,11436868
Hypersensitivity,hypersensitivity,C0020517,Hypersensitivity,HLA-DQA1,MESH:D006967,marker/mechanism,8725357
"Leishmaniasis, Visceral",leishmaniasis visceral,,,HLA-DQA1,MESH:D007898,marker/mechanism,23291585
"Lupus Erythematosus, Systemic",lupus erythematosus systemic,,,HLA-DQA1,MESH:D008180,marker/mechanism,11436868
"Mycobacterium tuberculosis, susceptibility to infection by",mycobacterium tuberculosis susceptibility to infection by,,,HLA-DQA1,MESH:C536092,marker/mechanism,26829749
Oropharyngeal Neoplasms,oropharyngeal neoplasms,,,HLA-DQA1,MESH:D009959,marker/mechanism,27749845
Pancreatitis,pancreatitis,C0030305,Pancreatitis,HLA-DQA1,MESH:D010195,marker/mechanism,25217962
Proteinuria,proteinuria,C0033687,Proteinuria,HLA-DQA1,MESH:D011507,marker/mechanism,11436868
"Arthritis, Rheumatoid",arthritis rheumatoid,,,HLA-DQA2,MESH:D001172,marker/mechanism,17568789
