DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,ABCB6,MESH:C538365,marker/mechanism,
Thyroid Neoplasms,thyroid neoplasms,,,ABCB6,MESH:D013964,marker/mechanism,35837087
"Anemia, Sideroblastic",anemia sideroblastic,,,ABCB7,MESH:D000756,marker/mechanism,16892088|18637800
"Anemia, sideroblastic spinocerebellar ataxia",anemia sideroblastic spinocerebellar ataxia,,,ABCB7,MESH:C536358,marker/mechanism,21326867
Ataxia,ataxia,C0004134,Ataxia,ABCB7,MESH:D001259,marker/mechanism,16892088
Recurrence,recurrence,,,ABCB8,MESH:D012008,marker/mechanism,35837087
Thyroid Neoplasms,thyroid neoplasms,,,ABCB8,MESH:D013964,marker/mechanism,35837087
Breast Neoplasms,breast neoplasms,,,ABCC1,MESH:D001943,marker/mechanism,25078270
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABCC1,MESH:D056486,marker/mechanism,18466103
Colorectal Neoplasms,colorectal neoplasms,,,ABCC1,MESH:D015179,marker/mechanism,22294766
Disease Progression,disease progression,C0242656,Disease progression,ABCC1,MESH:D018450,marker/mechanism,25078270
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCC1,MESH:D064420,marker/mechanism,18256692
Heart Diseases,heart diseases,,,ABCC1,MESH:D006331,marker/mechanism,16330681
Hypertension,hypertension,C0020538,Hypertension,ABCC1,MESH:D006973,marker/mechanism,17272743
Peripheral Nervous System Diseases,peripheral nervous system diseases,,,ABCC1,MESH:D010523,marker/mechanism,20864405
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,ABCC1,MESH:D000077195,marker/mechanism,25275603
Recurrence,recurrence,,,ABCC10,MESH:D012008,marker/mechanism,35837087
Thyroid Neoplasms,thyroid neoplasms,,,ABCC10,MESH:D013964,marker/mechanism,35837087
Disease Progression,disease progression,C0242656,Disease progression,ABCC11,MESH:D018450,marker/mechanism,22294766
Bone Marrow Diseases,bone marrow diseases,,,ABCC12,MESH:D001855,marker/mechanism,18466103
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCC12,MESH:D064420,marker/mechanism,18466103
Colorectal Neoplasms,colorectal neoplasms,,,ABCC13,MESH:D015179,marker/mechanism,22294766
Alopecia,alopecia,C0002170,Alopecia,ABCC2,MESH:D000505,marker/mechanism,18381794
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCC2,MESH:D001172,marker/mechanism,23897011
Cardiomyopathies,cardiomyopathies,,,ABCC2,MESH:D009202,marker/mechanism,33171190
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,ABCC2,MESH:D056486,marker/mechanism,18381794|18466103
Cholestasis,cholestasis,C0008370,Cholestasis,ABCC2,MESH:D002779,marker/mechanism,10869290|17681005|22521610
Colorectal Neoplasms,colorectal neoplasms,,,ABCC2,MESH:D015179,marker/mechanism,22294766
Diarrhea,diarrhea,,,ABCC2,MESH:D003967,marker/mechanism,32387182
Drug Hypersensitivity,drug hypersensitivity,C0013182,Drug hypersensitivity,ABCC2,MESH:D004342,marker/mechanism,20216337
