adr_idx,adr_id,adr_name
721,C0023531,Leukoplakia
722,C0023532,Leukoplakia oral
723,C0023646,Lichen planus
724,C0023653,Lichenification
725,C0023798,Lipoma
726,C0023801,Lipomatosis
727,C0023860,Listeriosis
728,C0023885,Liver abscess
729,C0023890,Hepatic cirrhosis
730,C0023891,Cirrhosis alcoholic
731,C0023895,Liver disorder
732,C0023903,Hepatic neoplasm
733,C0023976,Long QT syndrome
734,C0024003,Lordosis
735,C0024050,Lower gastrointestinal haemorrhage
736,C0024103,Breast mass
737,C0024115,Lung disorder
738,C0024117,Chronic obstructive pulmonary disease
739,C0024121,Lung neoplasm
740,C0024137,Cutaneous lupus erythematosus
741,C0024141,Systemic lupus erythematosus
742,C0024198,Lyme disease
743,C0024205,Lymphadenitis
744,C0024225,Lymphangitis
745,C0024228,Lymphatic disorder
746,C0024236,Lymphoedema
747,C0024248,Lymphocele
748,C0024282,Lymphocytosis
749,C0024299,Lymphoma
750,C0024305,Non-Hodgkin's lymphoma
751,C0024312,Lymphopenia
752,C0024314,Lymphoproliferative disorder
753,C0024437,Macular degeneration
754,C0024440,Cystoid macular oedema
755,C0024523,Malabsorption
756,C0024623,Gastric cancer
757,C0024894,Mastitis
758,C0024899,Mastocytosis
759,C0024902,Breast pain
760,C0024904,Mastoiditis
761,C0025007,Measles
762,C0025061,Mediastinal disorder
763,C0025160,Megacolon
764,C0025202,Malignant melanoma
765,C0025209,Melanosis
766,C0025218,Chloasma
767,C0025222,Melaena
768,C0025274,Menarche
769,C0025281,Meniere's disease
770,C0025286,Meningioma
771,C0025287,Meningism
772,C0025289,Meningitis
773,C0025290,Meningitis aseptic
774,C0025319,Menopausal disorder
775,C0025320,Menopause
776,C0025322,Premature menopause
777,C0025323,Menorrhagia
778,C0025345,Menstrual disorder
779,C0025362,Mental retardation
780,C0025500,Mesothelioma
781,C0025517,Metabolic disorder
782,C0025637,Methaemoglobinaemia
783,C0025874,Metrorrhagia
784,C0025958,Microcephaly
785,C0026113,Miliaria
786,C0026205,Miosis
787,C0026266,Mitral valve incompetence
788,C0026393,Molluscum contagiosum
789,C0026603,Motion sickness
790,C0026633,Congenital oral malformation
791,C0026636,Oral disorder
792,C0026640,Oral neoplasm
793,C0026650,Movement disorder
794,C0026751,Multiparous
795,C0026764,Plasma cell myeloma
796,C0026766,Multi-organ failure
797,C0026769,Multiple sclerosis
798,C0026826,Hypertonia
799,C0026827,Hypotonia
800,C0026837,Muscle rigidity
801,C0026838,Muscle spasticity
802,C0026846,Muscle atrophy
803,C0026848,Myopathy
804,C0026857,Musculoskeletal disorder
805,C0026858,Musculoskeletal pain
806,C0026884,Mutism
807,C0026896,Myasthenia gravis
808,C0026918,Mycobacterial infection
809,C0026946,Fungal infection
810,C0026948,Mycosis fungoides
811,C0026961,Mydriasis
812,C0026975,Myelitis
813,C0026976,Myelitis transverse
814,C0026986,Myelodysplastic syndrome
815,C0026987,Myelofibrosis
816,C0027013,Myeloid metaplasia
817,C0027051,Myocardial infarction
818,C0027059,Myocarditis
819,C0027066,Myoclonus
820,C0027080,Myoglobinuria
821,C0027092,Myopia
822,C0027121,Myositis
823,C0027125,Myotonia
824,C0027134,Myringitis
825,C0027339,Nail disorder
826,C0027343,Ingrowing nail
827,C0027404,Narcolepsy
828,C0027424,Nasal congestion
829,C0027429,Nasal obstruction
830,C0027430,Nasal polyps
831,C0027441,Nasopharyngitis
832,C0027497,Nausea
833,C0027531,Neck injury
834,C0027540,Necrosis
835,C0027543,Necrosis ischaemic
836,C0027609,Drug withdrawal syndrome neonatal
837,C0027627,Metastasis
838,C0027651,Neoplasm
839,C0027697,Nephritis
840,C0027709,Nephrocalcinosis
841,C0027719,Nephrosclerosis
842,C0027726,Nephrotic syndrome
843,C0027765,Nervous system disorder
844,C0027769,Nervousness
845,C0027796,Neuralgia
846,C0027813,Neuritis
847,C0027822,Neurodermatitis
848,C0027830,Neurofibroma
849,C0027849,Neuroleptic malignant syndrome
850,C0027858,Neuroma
851,C0027868,Neuromyopathy
852,C0027932,Neurosis
853,C0027947,Neutropenia
854,C0027962,Melanocytic naevus
855,C0028077,Night blindness
856,C0028081,Night sweats
857,C0028084,Nightmare
858,C0028259,Nodule
859,C0028734,Nocturia
860,C0028738,Nystagmus
861,C0028754,Obesity
862,C0028768,Obsessive-compulsive disorder
863,C0028778,Obstruction
864,C0028840,Ocular hypertension
865,C0028841,Hypotony of eye
866,C0028850,Eye movement disorder
867,C0028866,IIIrd nerve paralysis
868,C0028949,Oligomenorrhoea
869,C0028961,Oliguria
870,C0029089,Ophthalmoplegia
871,C0029118,Opportunistic infection
872,C0029124,Optic atrophy
873,C0029132,Optic nerve disorder
874,C0029134,Optic neuritis
875,C0029163,Mouth haemorrhage
876,C0029191,Orchitis
877,C0029261,Orgasm abnormal
878,C0029405,Brown tumour
879,C0029408,Osteoarthritis
880,C0029429,Osteochondrosis
881,C0029434,Osteogenesis imperfecta
882,C0029442,Osteomalacia
883,C0029443,Osteomyelitis
