adr_idx,adr_id,adr_name
530,C0019112,Haemorrhoids
531,C0019123,Haemothorax
532,C0019147,Coma hepatic
533,C0019151,Hepatic encephalopathy
534,C0019154,Hepatic vein thrombosis
535,C0019156,Venoocclusive liver disease
536,C0019158,Hepatitis
537,C0019159,Hepatitis A
538,C0019163,Hepatitis B
539,C0019187,Hepatitis alcoholic
540,C0019189,Chronic hepatitis
541,C0019193,Hepatitis toxic
542,C0019196,Hepatitis C
543,C0019209,Hepatomegaly
544,C0019212,Hepatorenal syndrome
545,C0019214,Hepatosplenomegaly
546,C0019243,Hereditary angioedema
547,C0019270,Hernia
548,C0019284,Diaphragmatic hernia
549,C0019294,Inguinal hernia
550,C0019342,Genital herpes
551,C0019348,Herpes simplex
552,C0019357,Ophthalmic herpes simplex
553,C0019360,Herpes zoster
554,C0019364,Ophthalmic herpes zoster
555,C0019372,Herpes virus infection
556,C0019385,Meningoencephalitis herpetic
557,C0019521,Hiccups
558,C0019555,Developmental hip dysplasia
559,C0019557,Hip fracture
560,C0019569,Congenital megacolon
561,C0019572,Hirsutism
562,C0019618,Histiocytosis
563,C0019655,Histoplasmosis
564,C0019829,Hodgkin's disease
565,C0019917,Hordeolum
566,C0019937,Horner's syndrome
567,C0020039,Hostility
568,C0020162,Humerus fracture
569,C0020175,Hunger
570,C0020224,Polyhydramnios
571,C0020255,Hydrocephalus
572,C0020295,Hydronephrosis
573,C0020302,Developmental glaucoma
574,C0020305,Hydrops foetalis
575,C0020429,Hyperpathia
576,C0020433,Hyperbilirubinaemia
577,C0020437,Hypercalcaemia
578,C0020438,Hypercalciuria
579,C0020440,Hypercapnia
580,C0020443,Hypercholesterolaemia
581,C0020452,Hyperaemia
582,C0020453,Hyperaesthesia
583,C0020455,Hypergammaglobulinaemia
584,C0020456,Hyperglycaemia
585,C0020457,Diabetic hyperosmolar coma
586,C0020458,Hyperhidrosis
587,C0020459,Hyperinsulinism
588,C0020461,Hyperkalaemia
589,C0020473,Hyperlipidaemia
590,C0020488,Hypernatraemia
591,C0020498,Senile ankylosing vertebral hyperostosis
592,C0020502,Hyperparathyroidism
593,C0020503,Hyperparathyroidism secondary
594,C0020505,Hyperphagia
595,C0020507,Hyperplasia
596,C0020510,Nodular regenerative hyperplasia
597,C0020514,Hyperprolactinaemia
598,C0020517,Hypersensitivity
599,C0020522,Type IV hypersensitivity reaction
600,C0020523,Type I hypersensitivity
601,C0020532,Hypersplenism
602,C0020538,Hypertension
603,C0020540,Malignant hypertension
604,C0020541,Portal hypertension
605,C0020542,Pulmonary hypertension
606,C0020546,Hypertensive crisis
607,C0020550,Hyperthyroidism
608,C0020555,Hypertrichosis
609,C0020557,Hypertriglyceridaemia
610,C0020564,Hypertrophy
611,C0020569,Salivary gland enlargement
612,C0020578,Hyperventilation
613,C0020579,Hypervitaminosis A
614,C0020580,Hypoaesthesia
615,C0020581,Hyphaema
616,C0020598,Hypocalcaemia
617,C0020599,Hypocalciuria
618,C0020604,Hypochondriasis
619,C0020615,Hypoglycaemia
620,C0020617,Hypoglycaemic coma
621,C0020619,Hypogonadism
622,C0020620,Hypohidrosis
623,C0020621,Hypokalaemia
624,C0020624,Hypomenorrhoea
625,C0020625,Hyponatraemia
626,C0020626,Hypoparathyroidism
627,C0020635,Hypopituitarism
628,C0020639,Hypoproteinaemia
629,C0020640,Factor II deficiency
630,C0020641,Hypopyon
631,C0020649,Hypotension
632,C0020651,Orthostatic hypotension
633,C0020672,Body temperature decreased
634,C0020676,Hypothyroidism
635,C0020678,Hypotrichosis
636,C0020683,Hypovolaemic shock
637,C0020757,Ichthyosis
638,C0020903,Illusion
639,C0020981,Angioimmunoblastic T-cell lymphoma
640,C0021051,Immunodeficiency
641,C0021053,Immune system disorder
642,C0021061,Immunology test
643,C0021080,Immunosuppression
644,C0021092,Cerumen impaction
645,C0021099,Impetigo
646,C0021100,Bullous impetigo
647,C0021122,Impulse-control disorder
648,C0021141,Inappropriate antidiuretic hormone secretion
649,C0021167,Incontinence
650,C0021177,Libido increased
651,C0021290,Neonatal disorder
652,C0021294,Premature baby
653,C0021308,Infarction
654,C0021313,Kidney infection
655,C0021345,Infectious mononucleosis
656,C0021359,Infertility
657,C0021361,Infertility female
658,C0021364,Infertility male
659,C0021368,Inflammation
660,C0021390,Inflammatory bowel disease
661,C0021400,Influenza
662,C0021655,Insulin resistance
663,C0021670,Insulinoma
664,C0021775,Intermittent claudication
665,C0021776,Intermittent explosive disorder
666,C0021807,Intertrigo
667,C0021843,Intestinal obstruction
668,C0021845,Intestinal perforation
669,C0021933,Intussusception
670,C0022073,Iridocyclitis
671,C0022078,Iris disorder
672,C0022081,Iritis
673,C0022104,Irritable bowel syndrome
674,C0022107,Irritability
675,C0022116,Ischaemia
676,C0022281,Eye pruritus
677,C0022346,Jaundice
678,C0022353,Jaundice neonatal
679,C0022354,Jaundice cholestatic
680,C0022362,Jaw disorder
681,C0022408,Arthropathy
682,C0022410,Joint instability
683,C0022504,Kaposi's varicelliform eruption
684,C0022541,Kearns-Sayre syndrome
685,C0022568,Keratitis
686,C0022572,Keratoacanthoma
687,C0022602,Actinic keratosis
688,C0022603,Seborrhoeic keratosis
689,C0022638,Ketosis
690,C0022658,Nephropathy
691,C0022660,Renal failure acute
692,C0022661,Renal failure chronic
693,C0022665,Renal neoplasm
694,C0022667,Renal papillary necrosis
695,C0022821,Kyphosis
696,C0022876,Premature labour
697,C0022893,Labyrinthitis
698,C0022904,Lacrimal disorder
699,C0022951,Lactose intolerance
700,C0023052,Laryngeal oedema
701,C0023066,Laryngospasm
702,C0023067,Laryngitis
703,C0023182,Cerebrospinal fluid leakage
704,C0023211,Bundle branch block left
705,C0023212,Left ventricular failure
706,C0023370,Leriche syndrome
707,C0023380,Lethargy
708,C0023418,Leukaemia
709,C0023449,Acute lymphocytic leukaemia
710,C0023467,Acute myeloid leukaemia
711,C0023470,Myeloid leukaemia
712,C0023473,Chronic myeloid leukaemia
713,C0023480,Chronic myelomonocytic leukaemia
714,C0023484,Plasma cell leukaemia
715,C0023487,Acute promyelocytic leukaemia
716,C0023501,Leukaemoid reaction
717,C0023510,White blood cell disorder
718,C0023518,Leukocytosis
719,C0023524,Progressive multifocal leukoencephalopathy
720,C0023530,Leukopenia
